epoch,mean_loss
0,2.6555183
1,2.558151
2,2.2984135
3,1.7400545
4,1.5033123
5,1.3233877
6,1.2600654
7,1.230605
8,1.1881356
9,1.1982744
10,1.1449993
11,1.1500205
12,1.148863
13,1.1304823
14,1.120999
15,1.1161002
16,1.1065474
17,1.134579
18,1.1278288
19,1.1188495
20,1.2000884
21,1.1175327
22,1.0911218
23,1.1042551
24,1.1470052
25,1.0898876
26,1.0483036
27,1.0907515
28,1.1294434
29,1.0497907
30,1.0561979
31,1.13582
32,1.031187
33,1.1271411
34,1.0229069
35,1.0813874
36,1.0412676
37,1.0125074
38,1.0491189
39,4.1016703
40,2.1039882
41,2.0837717
42,2.102734
43,2.0191975
44,2.0676563
45,2.0085962
46,2.0357277
47,2.030675
48,2.074342
49,1.9814686
